Name,Lat,Lon,Category
Woolworths,-33.6932248,151.018303,Supermarket
Coles,-33.2834061,151.423245,Supermarket
Woolworths,-33.9660028,151.106241,Supermarket
Coles,-33.8244009,151.0790184,Supermarket
Woolworths,-33.9578094,151.2313441,Supermarket
Woolworths Parramatta,-33.8180336,151.0029769,Supermarket
Coles Parramatta,-33.8176983,150.9999003,Supermarket
Woolworths Parramatta Station (Metro),-33.8175801,151.0044795,Supermarket
Coles,-33.823142,151.2011466,Supermarket
Coles,-33.9548008,150.9440374,Supermarket
Woolworths Metro,-33.8693268,151.2081628,Supermarket
Woolworths Burwood Plaza,-33.8774571,151.1019714,Supermarket
Woolworths,-33.7492979,151.0646824,Supermarket
Woolworths,-33.926105,151.058126,Supermarket
Woolworths Metro,-33.8743762,151.22275,Supermarket
Woolworths,-33.7252298,150.8452528,Supermarket
Woolworths,-33.769139,150.7346232,Supermarket
Coles,-33.970356,150.8583333,Supermarket
Coles,-34.4356756,150.8629466,Supermarket
Coles,-33.7933008,151.1341846,Supermarket
Woolworths,-33.7399817,150.8858965,Supermarket
Coles Local,-33.8704197,151.2065633,Supermarket
Coles,-33.6957965,150.8201378,Supermarket
Coles,-33.7057021,150.8761413,Supermarket
Woolworths,-33.9041623,151.1899282,Supermarket
Coles Merrylands,-33.8345794,150.9908519,Supermarket
Woolworths Merrylands,-33.8350097,150.9902499,Supermarket
Coles,-33.8593696,150.8975809,Supermarket
Coles,-33.8561794,151.1626686,Supermarket
Woolworths,-33.7269341,150.7251381,Supermarket
Coles,-33.908082,151.1720376,Supermarket
Woolworths,-33.8939774,151.2630931,Supermarket
Woolworths,-34.0344795,151.0734026,Supermarket
Coles,-33.811587,151.1069803,Supermarket
Woolworths Metro,-33.9242586,151.2119291,Supermarket
Woolworths,-34.0133477,151.0160731,Supermarket
Woolworths,-33.7836728,150.85313,Supermarket
Woolworths,-34.1011299,150.799585,Supermarket
Woolworths,-33.8118455,151.1074631,Supermarket
Woolworths,-34.0270745,150.7778457,Supermarket
Coles,-33.6581552,150.8802688,Supermarket
Woolworths,-33.9673466,151.1111388,Supermarket
Coles Greenacre,-33.9060201,151.0564875,Supermarket
Woolworths,-33.9619452,150.8063384,Supermarket
Coles,-33.8236372,151.1950876,Supermarket
Woolworths Auburn,-33.8502351,151.0319064,Supermarket
Woolworths Carter St Metro,-33.8506453,151.0603977,Supermarket
Woolworths,-33.7919122,150.9993311,Supermarket
Woolworths,-33.8809551,151.1317423,Supermarket
Woolworths,-33.8684498,150.9566816,Supermarket
Woolworths,-33.9181527,151.0757911,Supermarket
Woolworths Metro,-33.8920493,151.1998321,Supermarket
Coles Chullora,-33.8929981,151.0616442,Supermarket
Coles,-34.0099239,151.1035857,Supermarket
Woolworths,-34.0105957,151.1034746,Supermarket
Woolworths,-33.9583382,151.1406466,Supermarket
Coles,-33.7511556,150.6937139,Supermarket
Coles,-33.2337086,151.5539219,Supermarket
Coles,-34.371469,150.8976815,Supermarket
Coles,-33.8759889,150.8771575,Supermarket
Coles,-34.3944416,150.8939052,Supermarket
Coles,-33.7698348,150.9059279,Supermarket
Coles,-33.2159664,151.5108061,Supermarket
Coles,-33.8360618,151.0845422,Supermarket
Coles,-33.7301922,151.1577059,Supermarket
Coles Kincumber,-33.4668663,151.3827401,Supermarket
Woolworths Metro,-33.7131375,150.9941859,Supermarket
Woolworths,-33.9353534,151.0690219,Supermarket
Woolworths Rhodes,-33.8301207,151.0860029,Supermarket
Woolworths,-34.3742104,150.8978546,Supermarket
Woolworths,-34.0384197,151.1420573,Supermarket
Woolworths,-34.4859404,150.8890526,Supermarket
Woolworths,-33.7876027,150.9492426,Supermarket
Woolworths,-34.4360611,150.8635403,Supermarket
Woolworths,-33.8868041,150.8489957,Supermarket
Woolworths Cowper St Metro,-33.8323973,151.0134885,Supermarket
Coles,-33.8919417,151.2120328,Supermarket
Coles,-33.8670834,150.9521896,Supermarket
Woolworths Metro,-33.6361287,151.3298692,Supermarket
Coles,-33.7741145,151.1672143,Supermarket
Woolworths,-33.8913331,150.6190303,Supermarket
Woolworths Metro,-33.906189,151.2625303,Supermarket
Woolworths,-33.7190008,150.9543384,Supermarket
