Name,Lat,Lon,Category
Edgeware School,-33.913582,151.131342,School
Arncliffe Public School,-33.94054,151.14755,School
Balmain Public School,-33.859166,151.183417,School
Bexley Public School,-33.947687,151.128861,School
Bondi Public School,-33.892625,151.264753,School
Bourke Street Public School,-33.890534,151.215737,School
Croydon Public School,-33.879793,151.114887,School
Croydon Park Public School,-33.894695,151.108395,School
Daceyville Public School,-33.929548,151.227984,School
Darlinghurst Public School,-33.878599,151.223432,School
Gardeners Road Public School,-33.920643,151.198034,School
Glebe Public School,-33.883685,151.19097,School
Leichhardt Public School,-33.88427,151.15814,School
Maroubra Junction Public School,-33.93702706,151.2397289,School
Newtown Public School,-33.899991,151.179405,School
Paddington Public School,-33.887603,151.230188,School
Rozelle Public School,-33.862581,151.169749,School
Stanmore Public School,-33.895506,151.165283,School
Woollahra Public School,-33.886379,151.24119,School
Canterbury Boys High School,-33.904178,151.123884,School
St George Girls High School,-33.959073,151.136035,School
Sydney Boys High School,-33.892165,151.218904,School
Sydney Girls High School,-33.894191,151.220371,School
Sydney Technical High School,-33.963075,151.114342,School
Conservatorium High School,-33.863407,151.21408,School
Burwood Girls High School,-33.875318,151.113036,School
Kingsgrove North High School,-33.93398,151.097628,School
Port Hacking High School,-34.032395,151.097257,School
Blakehurst High School,-33.980406,151.11324,School
Caringbah High School,-34.034901,151.120399,School
Heathcote High School,-34.082295,151.01441,School
Kingsgrove High School,-33.948519,151.101653,School
Matraville Sports High School,-33.964747,151.244548,School
Cronulla High School,-34.038439,151.159056,School
J J Cahill Memorial High School,-33.927435,151.201835,School
Lucas Heights Community School,-34.035778,151.004817,School
Central Sydney Intensive English High School,-33.900033,151.19308,School
Kogarah High School,-33.961161,151.134227,School
Gymea Technology High School,-34.029985,151.08338,School
Endeavour Sports High School,-34.030083,151.117251,School
"Georges River College, Peakhurst Campus",-33.966882,151.056013,School
Engadine High School,-34.062141,151.019341,School
Woolooware High School,-34.039811,151.145595,School
Kirrawee High School,-34.04348,151.073475,School
Sylvania High School,-34.017367,151.103529,School
Sydney Secondary College Balmain Campus,-33.858506,151.170052,School
Fort Street High School,-33.890196,151.1529,School
Tempe High School,-33.91975,151.16094,School
Sydney Secondary College Leichhardt Campus,-33.879463,151.159003,School
Newtown High School of Performing Arts,-33.899534,151.178338,School
Marrickville High School,-33.905781,151.155995,School
South Sydney High School,-33.944154,151.234397,School
Rose Bay Secondary College,-33.878347,151.276121,School
Alexandria Park Community School,-33.901164,151.196518,School
Menai High School,-34.002904,151.023851,School
Sydney Distance Education High School,-33.871053,151.22098,School
Canterbury Girls High School,-33.907264,151.122631,School
"Georges River College, Hurstville Campus",-33.962826,151.109808,School
Ashfield Boys High School,-33.889547,151.129219,School
Dulwich High School of Visual Arts and Design,-33.904038,151.144871,School
The Jannali High School,-34.021612,151.061927,School
"Georges River College, Penshurst Campus",-33.964071,151.08601,School
Arcadia Public School,-33.623487,151.051031,School
Artarmon Public School,-33.811249,151.186001,School
Asquith Public School,-33.685729,151.112177,School
Seaforth Public School,-33.793262,151.251235,School
Beecroft Public School,-33.752085,151.06462,School
Berowra Public School,-33.618522,151.148996,School
Boronia Park Public School,-33.821414,151.135558,School
Brooklyn Public School,-33.548414,151.214992,School
Brookvale Public School,-33.761678,151.270787,School
Cammeray Public School,-33.820422,151.211542,School
Castle Hill Public School,-33.727887,151.004663,School
Cowan Public School,-33.588808,151.168843,School
Dee Why Public School,-33.749025,151.285209,School
Dural Public School,-33.686057,151.026394,School
Epping Public School,-33.770727,151.087878,School
Epping West Public School,-33.772789,151.068048,School
Ermington Public School,-33.804749,151.071574,School
Frenchs Forest Public School,-33.751516,151.224695,School
Galston Public School,-33.648197,151.04517,School
Gladesville Public School,-33.832977,151.125699,School
Glenhaven Public School,-33.700792,151.002882,School
Glenorie Public School,-33.599444,151.008082,School
Greenwich Public School,-33.82587,151.183252,School
Harbord Public School,-33.772164,151.286531,School
Hillside Public School,-33.601784,150.976151,School
Hunters Hill Public School,-33.835121,151.151254,School
Kenthurst Public School,-33.665603,151.004575,School
Lane Cove Public School,-33.816514,151.169134,School
Lindfield Public School,-33.78075,151.168917,School
