@lat,@lon,name,brand
-33.9261050,151.0581260,Woolworths,Woolworths
-33.8743762,151.2227500,Woolworths Metro,Woolworths Metro
-33.7252298,150.8452528,Woolworths,Woolworths
-33.7691390,150.7346232,Woolworths,Woolworths
-33.9703560,150.8583333,Coles,Coles
-34.4356756,150.8629466,Coles,Coles
-33.7933008,151.1341846,Coles,Coles
-33.7399817,150.8858965,Woolworths,Woolworths
-33.8704197,151.2065633,Coles Local,Coles Local
-33.6957965,150.8201378,Coles,Coles
-33.7057021,150.8761413,Coles,Coles
-33.9041623,151.1899282,Woolworths,Woolworths
-33.8345794,150.9908519,Coles Merrylands,Coles
-33.8350097,150.9902499,Woolworths Merrylands,Woolworths
-33.8593696,150.8975809,Coles,Coles
-33.8561794,151.1626686,Coles,Coles
-33.7269341,150.7251381,Woolworths,Woolworths
-33.9080820,151.1720376,Coles,Coles
-33.8939774,151.2630931,Woolworths,Woolworths
-34.0344795,151.0734026,Woolworths,Woolworths
-33.8115870,151.1069803,Coles,Coles
-33.9242586,151.2119291,Woolworths Metro,Woolworths Metro
-34.0133477,151.0160731,Woolworths,Woolworths
-33.7836728,150.8531300,Woolworths,Woolworths
-34.1011299,150.7995850,Woolworths,Woolworths
-33.8118455,151.1074631,Woolworths,Woolworths
-34.0270745,150.7778457,Woolworths,Woolworths
-33.6581552,150.8802688,Coles,Coles
-33.9673466,151.1111388,Woolworths,Woolworths
-33.9060201,151.0564875,Coles Greenacre,Coles
-33.9619452,150.8063384,Woolworths,Woolworths
-33.8236372,151.1950876,Coles,Coles
-33.8502351,151.0319064,Woolworths Auburn,Woolworths
-33.8506453,151.0603977,Woolworths Carter St Metro,Woolworths Metro
-33.7919122,150.9993311,Woolworths,Woolworths
-33.8809551,151.1317423,Woolworths,Woolworths
-33.8684498,150.9566816,Woolworths,Woolworths
-33.9181527,151.0757911,Woolworths,Woolworths
-33.8920493,151.1998321,Woolworths Metro,Woolworths Metro
-33.8929981,151.0616442,Coles Chullora,Coles
-34.0099239,151.1035857,Coles,Coles
-34.0105957,151.1034746,Woolworths,Woolworths
-33.9583382,151.1406466,Woolworths,Woolworths
-33.7511556,150.6937139,Coles,Coles
-33.2337086,151.5539219,Coles,Coles
-34.3714690,150.8976815,Coles,Coles
-33.8759889,150.8771575,Coles,Coles
-34.3944416,150.8939052,Coles,Coles
-33.7698348,150.9059279,Coles,Coles
-33.2159664,151.5108061,Coles,Coles
-33.8360618,151.0845422,Coles,Coles
-33.7301922,151.1577059,Coles,Coles
-33.4668663,151.3827401,Coles Kincumber,Coles
-33.7131375,150.9941859,Woolworths Metro,Woolworths Metro
-33.9353534,151.0690219,Woolworths,Woolworths
-33.8301207,151.0860029,Woolworths Rhodes,Woolworths
-34.3742104,150.8978546,Woolworths,Woolworths
-34.0384197,151.1420573,Woolworths,Woolworths
-34.4859404,150.8890526,Woolworths,Woolworths
-33.7876027,150.9492426,Woolworths,Woolworths
-34.4360611,150.8635403,Woolworths,Woolworths
-33.8868041,150.8489957,Woolworths,Woolworths
-33.8323973,151.0134885,Woolworths Cowper St Metro,Woolworths Metro
-33.8919417,151.2120328,Coles,Coles
-33.8670834,150.9521896,Coles,Coles
-33.6361287,151.3298692,Woolworths Metro,Woolworths Metro
-33.7741145,151.1672143,Coles,Coles
-33.8913331,150.6190303,Woolworths,Woolworths
-33.9061890,151.2625303,Woolworths Metro,Woolworths Metro
-33.7190008,150.9543384,Woolworths,Woolworths
