@id,@lat,@lon,name
5692089426,-33.8772478,151.1996527,Exhibition Centre
5692089427,-33.8793182,151.2027158,Paddy's Markets
5692089432,-33.8798044,151.2056706,Capitol Square
5692089433,-33.8824091,151.2067227,Central Grand Concourse
6497471265,-33.7974806,151.1809390,Chatswood
6503400516,-33.7728628,151.0820902,Epping
6544860724,-33.8159137,151.0900998,Meadowbank
6553012201,-33.9171961,151.0887104,Belmore
6553012213,-33.7843685,151.1775506,Roseville
6553012216,-33.7756095,151.1692144,Lindfield
6553012244,-33.8832296,151.1155955,Croydon
6553012245,-33.8590236,151.0881331,North Strathfield
6560219244,-33.9231912,151.1872655,Mascot
6560219252,-33.9475765,151.0702555,Narwee
6560219259,-33.9543358,150.9978399,Panania
6560219263,-33.9618532,150.9846273,East Hills
6571195040,-33.9147428,151.1661069,Sydenham
6576039170,-33.9375479,151.1134896,Bexley North
6576039172,-33.9490787,151.0810471,Beverly Hills
6601585113,-33.8678177,151.2107590,Martin Place
6615213260,-33.9201175,151.0758653,Lakemba
6616036388,-33.9245421,150.9276398,Liverpool
6616036405,-33.8233375,151.0076541,Harris Park
6616036413,-33.8084959,150.9880176,Westmead
6618892734,-33.8668117,151.0864608,Homebush
6618892735,-33.8945133,151.1639072,Stanmore
6618892736,-33.8933685,151.1476275,Lewisham
6620581678,-34.0476621,151.1440873,Woolooware
6620581680,-34.0415962,151.1227396,Caringbah
6620581683,-34.0348927,151.0855146,Gymea
6620600087,-34.0557283,151.1514553,Cronulla
6620600094,-33.9453399,151.1404070,Banksia
6620600106,-33.9518729,151.1368534,Rockdale
6620600130,-33.9364350,151.1473489,Arncliffe
6620600140,-33.9805174,151.0790256,Oatley
6620600145,-34.0159520,151.0646300,Jannali
6620600147,-34.0316252,151.0572738,Sutherland
6624452553,-33.7499883,150.6960940,Penrith
6624452584,-33.6719686,151.1145291,Mount Colah
6624454793,-33.7447018,151.1419726,Pymble
6627573507,-33.8719154,151.0322942,Berala
6627573510,-33.8828393,151.0242784,Regents Park
6627573513,-33.8808812,150.9761642,Villawood
6627573522,-33.9178440,151.0346402,Bankstown
6627573530,-33.9105708,151.1026511,Campsie
6627573533,-33.9119882,151.1186885,Canterbury
6627573536,-33.9110089,151.1409130,Dulwich Hill
6627573542,-33.9009517,151.1852676,Erskineville
9602630233,-33.8172060,151.0185111,Tramway Avenue
9602630234,-33.8169223,151.0112047,Robin Thomas
9602630235,-33.8155540,151.0051301,Parramatta Square
9602630236,-33.8129468,151.0036168,Church Street
9602630237,-33.8090725,151.0052567,Prince Alfred Square
9602630238,-33.8051861,151.0058333,Fennell Street
9602630239,-33.8008140,151.0045582,Benaud Oval
9602630240,-33.8014592,151.0013831,Ngara
9602630241,-33.8025890,150.9930356,Childrens Hospital
9602630242,-33.8047090,150.9900754,Westmead Hospital
9687247374,-34.2910963,150.5801150,Bargo
11913179645,-34.3953680,150.8963847,Fairy Meadow
12133704387,-33.1803459,151.4871062,Wyee
